O, ﻿o
norte-americano, norte-americano
Scott, scott
Brayton, brayton
,, ,
36, 36
,, ,
realizou, realiz
um, um
sonho, sonho
ao, ao
se, se
tornar, tornar
,, ,
anteontem, anteontem
,, ,
o, o
pole, pole
position, posit
das, da
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
., .

, 

`, `
`, `
É, é
algo, algo
que, que
busquei, busquei
desesperadamente, desesperadament
por, por
toda, toda
a, a
minha, minha
vida, vida
'', ''
,, ,
disse, diss
ele, ele
,, ,
ontem, ontem
,, ,
após, apó
a, a
confirmação, confirmação
de, de
que, que
era, era
o, o
primeiro, primeiro
do, do
grid, grid
., .

, 

Brayton, brayton
é, é
um, um
dos, do
pilotos, piloto
que, que
só, só
participam, participam
das, da
500, 500
Milhas, milha
,, ,
sem, sem
correr, correr
a, a
temporada, temporada
da, da
Indy, indi
., .
Já, já
o, o
fez, fez
,, ,
porém, porém
,, ,
e, e
sua, sua
melhor, melhor
colocação, colocação
numa, numa
prova, prova
foi, foi
um, um
terceiro, terceiro
lugar, lugar
em, em
Milwaukee, milwauke
,, ,
em, em
92, 92
., .

, 

Filho, filho
de, de
Lee, lee
Brayton, brayton
,, ,
antigo, antigo
corredor, corredor
da, da
Indy, indi
,, ,
Scott, scott
participa, participa
de, de
sua, sua
14ª, 14ª
prova, prova
em, em
Indianápolis, indianápoli
., .

, 

`, `
`, `
É, é
curioso, curioso
que, que
a, a
pole, pole
tenha, tenha
vindo, vindo
exatamente, exatament
dez, dez
anos, ano
depois, depoi
do, do
meu, meu
melhor, melhor
resultado, resultado
_, _
e, e
maior, maior
frustração, frustração
_, _
em, em
treinos, treino
aqui, aqui
., .
'', ''

, 

No, no
`, `
`, `
pole, pole
day, day
'', ''
de, de
85, 85
,, ,
ele, ele
quebrou, quebrou
o, o
recorde, record
de, de
volta, volta
mais, mai
rápida, rápida
no, no
circuito, circuito
,, ,
mas, ma
sua, sua
média, média
horária, horária
nas, na
quatro, quatro
voltas, volta
classificatórias, classificatória
ficou, ficou
0,368, 0,368
km/h, km/h
abaixo, abaixo
da, da
de, de
Pancho, pancho
Carter, carter
., .
Brayton, brayton
acabou, acab
largando, largando
em, em
segundo, segundo
., .

, 

Quanto, quanto
à, à
corrida, corrida
do, do
dia, dia
28, 28
,, ,
Brayton, brayton
disse, diss
que, que
seu, seu
carro, carro
tem, tem
condições, condiçõ
de, de
completar, completar
as, as
200, 200
voltas, volta
da, da
prova, prova
., .
`, `
`, `
Nosso, nosso
carro, carro
tem, tem
condições, condiçõ
., .
'', ''

, 

(, (
MT, mt
), )

, 

