O, ﻿O
relator, relator
do, de o
inquérito, inquérito
do, de o
Tribunal, Tribunal
de, de
Justiça, Justiça
Desportiva, Desportiva
(, (
TJD, TJD
), )
sobre, sobre
o, o
escândalo, escândalo
da, de o
arbitragem, arbitragem
,, ,
João, João
José, José
Galindo, Galindo
,, ,
não, não
acredita, acreditar
que, que
no, em o
seu, seu
relatório, relatório
vá, ir
propor, propor
punição, punição
a, a
Wagner, Wagner
Canazaro, Canazaro
., .
", "
Denúncia, denúncia
sobre, sobre
suborno, suborno
de, de
árbitro, árbitro
é, ser
como, como
adultério, adultério
:, :
às, a o
vezes, vez
se, se
sabe, saber
que, que
existe, existir
,, ,
mas, mas
não, não
há, haver
como, como
provar, provar
", "
,, ,
disse, dizer
Galindo, Galindo
., .

, 

No, em o
máximo, máximo
em, em
29, 29
dias, dia
ele, ele
vai, ir
apresentar, apresentar
seu, seu
relatório, relatório
., .
Se, se
sugerir, sugerir
punição, punição
–, –
restrita, restritar
à, a o
área, área
desportiva, desportivo
–, –
a, a
Canazaro, Canazaro
,, ,
os, o
11, 11
integrantes, integrante
do, de o
TJD, TJD
decidem, decidir
., .
Todos, todo
são, ser
ligados, ligar
ao, a o
presidente, presidente
da, de o
federação, federação
,, ,
Eduardo, Eduardo
Viana, Viana
,, ,
aliado, aliar
de, de
Canazaro, Canazaro
., .

, 

Hoje, hoje
os, o
juízes, juíz
Cláudio, Cláudio
Cerdeira, Cerdeira
e, e
Cláudio, Cláudio
Garcia, Garcia
–, –
que, que
denunciaram, denunciar
a, o
orientação, orientação
para, para
influenciar, influenciar
resultados, resultado
de, de
jogos, jogo
–, –
vão, ir
depor, depor
na, em o
Polícia, Polícia
Interestadual, Interestadual
., .

, 

Ontem, ontem
o, o
deputado, deputado
estadual, estadual
Sérgio, Sérgio
Cabral, Cabral
Filho, Filho
(, (
PSDB, PSDB
), )
afirmou, afirmar
que, que
é, ser
possível, possível
que, que
a, o
Assembléia, Assembléia
Legislativa, Legislativa
não, não
se, se
reúna, reúnar
em, em
sessão, sessão
extraordinária, extraordinário
em, em
janeiro, janeiro
., .
Assim, assim
,, ,
ficaria, ficar
adiada, adiado
pelo, por o
menos, menos
até, até
fevereiro, fevereiro
a, o
votação, votação
sobre, sobre
a, o
criação, criação
da, de o
", "
CPI, CPI
do, de o
Apito, Apito
", "
,, ,
também, também
sobre, sobre
suborno, suborno
de, de
juízes, juíz
., .
(, (
MM, MM
), )

, 

