Pela, ﻿Pela
segunda, segundo
vez, vez
consecutiva, consecutivo
,, ,
a, o
pivô, pivô
argentina, argentina
Karina, Karina
termina, terminar
o, o
campeonato, campeonato
paulista, paulista
como, como
cestinha, cestinhar
da, de o
bicampeã, bicampeã
Nossa, Nossa
Caixa-Ponte, Caixa-Ponte
Preta, Preta
., .
Anotou, anotar
nada, nada
menos, menos
do, de o
que, que
78, 78
pontos, ponto
–, –
44, 44
contra, contra
a, o
Cesp-Unimep, Cesp-Unimep
e, e
34, 34
contra, contra
o, o
Lacta, Lacta
–, –
nas, em o
finais, final
,, ,
totalizando, totalizar
693, 693
pontos, ponto
no, em o
campeonato, campeonato
,, ,
marca, marca
superada, superar
apenas, apenas
pela, por o
ala, ala
Janeth, Janeth
,, ,
do, de o
Lacta, Lacta
,, ,
com, com
704, 704
., .

, 

", "
É, ser
ótimo, bom
jogar, jogar
em, em
um, um
time, time
forte, forte
e, e
disputar, disputar
um, um
campeonato, campeonato
forte, forte
", "
,, ,
afirmou, afirmar
Karina, Karina
Valéria, Valéria
Rodriguez, Rodriguez
(, (
1,86, 1,86
m, m
e, e
89, 89
kg, kg
), )
,, ,
que, que
veio, vir
para, para
o, o
Brasil, Brasil
com, com
15, 15
anos, ano
de, de
idade, idade
(, (
completa, completar
22, 22
no, em o
próximo, próximo
dia, dia
8, 8
de, de
fevereiro, fevereiro
), )
e, e
até, até
encaminhou, encaminhar
processo, processo
de, de
naturalização, naturalização
tal, tal
a, o
sua, seu
adaptação, adaptação
ao, a o
Brasil, Brasil
., .
Mas, mas
mesmo, mesmo
que, que
consiga, consigir
a, o
documentação, documentação
brasileira, brasileiro
,, ,
ela, ela
continuará, continuar
impedida, impedida
de, de
defender, defender
a, o
seleção, seleção
nacional, nacional
,, ,
segundo, segundo
regulamento, regulamento
da, de o
Federação, Federação
Internacional, Internacional
de, de
Basquete, Basquete
., .

, 

Convidada, convidar
pela, por o
técnica, técnica
Maria, Maria
Helena, Helena
Cardoso, Cardoso
,, ,
a, o
pivô, pivô
veio, vir
para, para
o, o
Brasil, Brasil
,, ,
jogar, jogar
no, em o
BCN, BCN
/, /
Piracicaba, Piracicaba
,, ,
com, com
apenas, apenas
15, 15
anos, ano
de, de
idade, idade
., .
"Ganhei, "Ganhei
bolsa, bolsa
de, de
estudos, estudo
,, ,
ajuda, ajuda
de, de
custo, custo
e, e
estava, estar
empolgada, empolgar
", "
,, ,
falou, falar
., .
Ficou, ficar
em, em
Piracicaba, Piracicaba
até, até
meados, meado
de, de
91, 91
quando, quando
se, se
transferiu, transferir
para, para
o, o
time, time
espanhol, espanhol
do, de o
Banco, Banco
Zaragozano, Zaragozano
,, ,
com, com
o, o
qual, qual
se, se
sagrou, sagrar
campeã, campeã
da, de o
Copa, copa
da, de o
Espanha, Espanha
e, e
vice, vice
da, de o
Copa, copa
da, de o
Europa, Europa
., .

, 

", "
Viajei, Viajei
muito, muito
pela, por o
Europa, Europa
., .
Afirmo, afirmo
,, ,
sem, sem
dúvida, dúvida
,, ,
que, que
não, não
existe, existir
no, em o
mundo, mundo
um, um
campeonato, campeonato
regional, regional
tão, tão
forte, forte
como, como
o, o
paulista, paulista
., .
Na, em o
Espanha, Espanha
,, ,
há, haver
mais, mais
equilíbrio, equilíbrio
,, ,
maior, grande
quantidade, quantidade
de, de
equipes, equipe
,, ,
mas, mas
todas, todo
de, de
menor, pequeno
qualidade, qualidade
", "
,, ,
declarou, declarar
Karina, Karina
,, ,
que, que
está, estar
na, em o
Ponte, Ponte
desde, desde
92, 92
., .

, 

As, o
cestinhas, cestinha
do, de o
paulista, paulista
;, ;
1, 1
), )
Janeth, Janeth
,, ,
704, 704
pontos, ponto
;, ;
2, 2
), )
Karina, Karina
,, ,
693, 693
;, ;
3, 3
), )
Hortência, Hortência
(, (
Ponte, Ponte
), )
,, ,
551, 551
;, ;
4, 4
), )
Donna, Donna
(, (
Unimed, Unimed
), )
,, ,
457, 457
;, ;
e, e
5, 5
), )
Cathy, Cathy
(, (
Unimep, Unimep
), )
,, ,
451, 451
., .
(, (
EA, EA
), )

, 

