Se, ﻿Se
no, em o
final, final
da, de o
viagem, viagem
a, a
mala, mala
estiver, estar
muito, muito
pesada, pesado
por, por
causa, causa
das, de o
compras, compra
,, ,
o, o
correio, correio
,, ,
os, o
agentes, agente
de, de
carga, carga
ou, ou
os, o
serviços, serviço
de, de
remessas, remessa
expressas, expressas
podem, poder
ser, ser
soluções, solução
mais, mais
baratas, barata
ou, ou
mais, mais
cômodas, cômodo
do, de o
que, que
embarcar, embarcar
com, com
toda, todo
a, o
bagagem, bagagem
., .

, 

O, o
correio, correio
oferece, oferecer
três, três
tipos, tipo
de, de
serviços, serviço
úteis, útil
aos, a o
turistas, turista
de, de
shopping, shopping
center, center
., .

, 

O, o
Sedex, Sedex
Internacional, Internacional
(, (
ou, ou
EMS, EMS
,, ,
como, como
é, ser
chamado, chamar
no, em o
exterior, exterior
), )
pode, poder
transportar, transportar
até, até
30, 30
kg, kg
de, de
mercadorias, mercadoria
e, e
cinco, cinco
quilos, quilo
de, de
documentos, documento
., .

, 

O, o
prazo, prazo
de, de
entrega, entrega
varia, variar
entre, entre
três, três
e, e
quatro, quatro
dias, dia
úteis, útil
,, ,
se, se
o, o
pacote, pacote
for, ser
enviado, enviar
dos, de o
Estados, Estados
Unidos, Unidos
., .

, 

O, o
Colis, Colis
Posteaux, Posteaux
pode, poder
transportar, transportar
até, até
20, 20
kg, kg
e, e
leva, levar
sete, sete
dias, dia
úteis, útil
dos, de o
Estados, Estados
Unidos, Unidos
para, para
o, o
Brasil, Brasil
., .
É, ser
embarcado, embarcar
no, em o
avião, avião
um, um
dia, dia
depois, depois
de, de
ser, ser
postado, postar
., .

, 

O, o
Colis, Colis
Posteaux, Posteaux
via, ver
Sal, Sal
é, ser
mais, mais
econômico, econômico
., .
Mas, mas
a, o
remessa, remessa
pode, poder
levar, levar
até, até
dez, dez
dias, dia
(, (
na, em o
América, América
do, de o
Sul, Sul
), )
ou, ou
15, 15
dias, dia
(, (
em, em
outros, outro
países, país
), )
apenas, apenas
para, para
ser, ser
embarcado, embarcar
., .

, 

Os, o
preços, preço
variam, variar
dependendo, depender
do, de o
país, país
de, de
onde, onde
o, o
pacote, pacote
é, ser
remetido, remeter
,, ,
do, de o
peso, peso
e, e
do, de o
destino, destino
da, de o
carga, carga
., .

, 

Outra, outro
opção, opção
é, ser
mandar, mandar
roupas, roupa
ou, ou
compras, compra
por, por
agentes, agente
de, de
carga, carga
como, como
bagagem, bagagem
desacompanhada, desacompanhar
., .

, 

Segundo, segundo
o, o
assistente, assistente
de, de
exportação, exportação
da, de o
Greenwich, Greenwich
,, ,
Geraldo, Geraldo
Vieira, Vieira
,, ,
o, o
interessado, interessado
deve, dever
apresentar, apresentar
passaporte, passaporte
,, ,
cópia, cópia
da, de o
passagem, passagem
e, e
declaração, declaração
do, de o
conteúdo, conteúdo
do, de o
pacote, pacote
., .

, 

Os, o
preços, preço
podem, poder
ser, ser
cobrados, cobrar
por, por
peso, peso
ou, ou
metragem, metragem
cúbica, cúbico
., .
Mas, mas
para, para
os, o
pacotes, pacote
pequenos, pequeno
há, haver
uma, um
tabela, tabela
de, de
preços, preço
., .

, 

Despachar, despachar
um, um
pacote, pacote
de, de
cinco, cinco
quilos, quilo
de, de
Nova, Nova
York, York
para, para
São, São
Paulo, Paulo
custa, custar
US$, US$
7,70, 7,70
e, e
de, de
Londres, Londres
US$, US$
10,50, 10,50
., .
O, o
prazo, prazo
de, de
entrega, entrega
é, ser
de, de
um, um
dia, dia
e, e
o, o
único, único
inconveniente, inconveniente
é, ser
ter, ter
que, que
buscar, buscar
a, o
encomenda, encomenda
no, em o
aeroporto, aeroporto
., .

, 

As, o
remessas, remessa
expressas, expressas
são, ser
muito, muito
procuradas, procurar
pelas, por o
pessoas, pessoa
que, que
preferem, preferir
receber, receber
o, o
pacote, pacote
em, em
casa, casa
., .
Por, por
isso, isso
,, ,
os, o
preços, preço
são, ser
mais, mais
salgados, salgado
e, e
,, ,
às, a o
vezes, vez
,, ,
não, não
compensam, compensar
., .

, 

Um, um
pacote, pacote
de, de
cinco, cinco
quilos, quilo
de, de
livros, livro
(, (
categoria, categoria
documento, documento
), )
despachado, despachar
de, de
Londres, Londres
para, para
São, São
Paulo, Paulo
pela, por o
DHL, DHL
custa, custar
US$, US$
80, 80
e, e
demora, demor
dois, dois
dias, dia
., .

, 

Uma, um
mala, mala
com, com
cinco, cinco
quilos, quilo
de, de
roupas, roupa
remetida, remetir
de, de
Nova, Nova
York, York
para, para
São, São
Paulo, Paulo
custa, custar
US$, US$
130, 130
e, e
demora, demor
três, três
dias, dia
para, para
chegar, chegar
ao, a o
destino, destino
final, final
., .

, 

(, (
IS, IS
), )

, 

GREENWICH, GREENWICH
:, :
tel., tel.
(, (
011, 011
), )
543-7333, 543-7333
;, ;
DHL, DHL
:, :
tel., tel.
(, (
011, 011
), )
536-2500, 536-2500

, 

