benchmark,class,cores,is_singularity,time
lu,W,4,s,9.106000000000002
lu,A,4,n,30.636000000000006
lu,A,4,s,36.473
ep,A,2,n,2.9220000000000006
ep,A,2,s,2.9029999999999996
cg,B,2,n,52.071000000000005
cg,B,2,s,51.875
ft,A,2,n,7.8340000000000005
ft,A,2,s,7.878
ep,A,4,n,4.996
ep,A,4,s,5.062
lu,B,4,n,127.50399999999999
lu,B,4,s,129.836
ft,S,4,n,0.23000000000000004
ft,S,4,s,0.238
ft,A,4,n,5.530000000000001
ft,A,4,s,5.659999999999999
mg,S,4,n,0.4619999999999999
mg,S,4,s,0.326
mg,W,4,n,0.7739999999999999
mg,W,4,s,0.8400000000000001
mg,A,4,n,2.5419999999999994
mg,A,4,s,1.2939999999999998
mg,B,4,n,2.3880000000000003
mg,B,4,s,2.3440000000000003
ft,W,4,n,0.136
ft,W,4,s,0.14200000000000002
ft,B,4,n,55.788
ft,B,4,s,61.45399999999999
cg,C,2,n,362.3966666666667
cg,C,2,s,394.5133333333333
ep,W,8,n,0.11
ep,W,8,s,0.11
cg,S,8,n,0.52
cg,S,8,s,0.6533333333333333
lu,S,8,n,0.38999999999999996
lu,S,8,s,0.3666666666666667
lu,W,16,n,9.67
lu,W,16,s,19.126666666666665
lu,B,16,n,36.169999999999995
lu,B,16,s,78.91666666666667
mg,S,16,n,0.18000000000000002
mg,S,16,s,0.20333333333333334
lu,C,8,n,281.97
lu,C,8,s,253.035
ft,C,16,n,103.855
ft,C,16,s,87.07000000000001
ep,C,2,n,81.175
ep,C,2,s,126.895
lu,C,2,n,767.88
lu,C,2,s,834.6600000000001
lu,C,4,n,469.45000000000005
lu,C,4,s,458.595
ft,C,4,n,289.045
ft,C,4,s,283.885
mg,C,4,n,29.33
mg,C,4,s,57.72
