benchmark,class,cores,is_singularity,time
is,S,2,n,0.0
is,S,2,s,0.0
is,W,2,n,0.02
is,W,2,s,0.02
ep,S,2,n,0.16
ep,S,2,s,0.1366666666666667
ep,W,2,n,0.29
ep,W,2,s,0.26333333333333336
is,S,4,n,0.0
is,S,4,s,0.0
is,W,4,n,0.02
is,W,4,s,0.02
ep,S,4,n,0.08666666666666667
ep,S,4,s,0.09333333333333334
ep,W,4,n,0.16
ep,W,4,s,0.17333333333333334
